Sample ,SSC,Date_Time,C_conc,S_conc,FS_conc
ST4-D2,110.0000003,7/29/2023 15:07,2.404768245,74.52237655,33.07285553
ST4-D3,53.333,7/29/2023 15:22,1.334145041,37.63675362,14.36210134
ST4-D4,80.00000024,7/29/2023 15:37,1.86080453,55.02461463,23.11458108
ST4-D5,43.33430055,7/29/2023 15:52,0.703759148,28.64713555,13.98340585
ST4-D6,92.22199982,7/29/2023 16:07,2.179304314,62.36119666,27.68149884
ST5-D1,76.15400015,8/13/2023 18:45,1.699945081,47.5876678,26.86638727
ST5-D2,41.19999988,8/13/2023 18:58,1.008899667,27.30211927,12.88898094
ST5-D3,39.60000008,8/13/2023 19:02,0.806770338,24.86860103,13.92462871
ST5-D4,27.60000003,8/13/2023 19:10,0.585936919,17.64723647,9.366826638
ST5-D5,20.83337099,8/13/2023 21:02,0.522174361,13.76993469,6.541261948
ST7-D1,37.60000057,9/14/2023 17:52,1.162624595,29.02395613,7.41341984
ST7-D2,31.53869708,9/14/2023 18:07,0.761402508,23.87649017,6.90080441
ST7-D3,28.07713222,9/14/2023 18:22,0.450752384,21.22617604,6.400203786
ST7-D5,23.59980959,9/14/2023 18:52,0.384699481,16.74300789,6.472102225
ST7-D6,21.17521668,9/14/2023 19:09,0.52937169,15.624804,5.021040989
ST4-U1,99.9998979,7/29/2023 15:16,1.954473835,60.54348,37.50194407
ST4-U2,105.5558544,7/29/2023 15:31,2.833458705,71.34055305,31.38184269
ST4-U3,50.0025231,7/29/2023 15:46,1.812010324,37.1554309,11.03508188
ST4-U4,68.88899987,7/29/2023 16:01,1.87472009,44.18379249,22.83048728
ST4-U5,51.11255035,7/29/2023 16:16,1.746731408,35.67558657,13.69023237
ST4-U6,45.26299991,7/29/2023 16:31,1.1788185,31.42787055,12.65631087
ST4-U7,19.99976348,7/29/2023 16:46,0.398063156,11.55161695,8.050083377
ST4-U9,15.4555238,7/29/2023 17:16,0.413278545,9.711989167,5.330256087
ST4-U11,26.00000003,7/29/2023 17:46,0.842110046,18.33236864,6.825521343
ST4-U14,21.0000428,7/29/2023 18:31,0.288438876,10.48024924,10.23135468
ST5-U1,43.19985899,8/13/2023 18:45,0.703125933,21.29043897,21.20629408
ST5-U2,29.23134989,8/13/2023 19:00,0.677630305,19.31574815,9.237971434
ST5-U3,25.0003814,8/13/2023 19:15,0.59990437,15.99029672,8.410180309
ST5-U4,23.75164954,8/13/2023 19:30,0.502537361,14.83559908,8.413513103
ST5-U5,22.22200007,8/13/2023 19:45,0.462494814,13.3762635,8.383241753
ST5-U6,22.22200002,8/13/2023 20:00,0.361507945,13.52465989,8.335832189
ST5-U7,21.90499996,8/13/2023 20:15,0.314399871,10.5901777,11.00042238
ST5-U8,17.99999996,8/13/2023 20:30,0.215591383,8.105625862,9.678782718
ST5-U9,20.49895521,8/13/2023 20:45,0.469286981,12.88058714,7.149081088
ST5-U10,12.5580333,8/13/2023 21:00,0.250130594,8.052750724,4.255151986
ST5-U11,18.00054756,8/13/2023 21:15,0.426085873,11.35465304,6.219808643
ST5-U12,20.00062928,8/13/2023 21:30,0.457320419,12.09913055,7.444178307
ST6-U1,77.89499993,8/28/2023 12:20,1.310177204,44.73287451,31.85194821
ST6-U2,43.00000009,8/28/2023 12:35,0.67140128,23.80468627,18.52391254
ST6-U3,36,8/28/2023 12:50,0.697860017,22.84495162,12.45718836
ST6-U4,28.8362148,8/28/2023 13:05,0.575569092,17.33736218,10.92328352
ST6-U5,29.5451921,8/28/2023 13:20,0.53789179,18.09678593,10.91051438
ST6-U8,26.84115408,8/28/2023 14:05,0.569198713,16.54396782,9.72798754
ST6-U10,24.00051874,8/28/2023 14:35,0.484557489,15.80427447,7.71168678
ST7-U1,30.76835869,9/14/2023 17:45,0.642169707,21.49448287,8.631706106
ST7-U2,30.19991885,9/14/2023 18:00,0.745878104,23.18309083,6.270949913
ST7-U3,29.17968566,9/14/2023 18:15,0.762700459,23.65618898,4.760796221
ST7-U5,20.4175278,9/14/2023 18:45,0.425641048,15.47043911,4.521447645
ST7-U7,17.99943179,9/14/2023 19:15,0.360228666,13.88967615,3.749526979
