Date_Time,Sample,Q
4/17/2023 16:30,D1,0.171886328
4/17/2023 20:30,D2,0.178582536
4/18/2023 0:30,D3,0.173669434
4/18/2023 4:30,D4,0.169651709
4/18/2023 16:30,D7,0.184383366
4/18/2023 21:30,D8,0.184827229
4/19/2023 2:30,D9,0.176791779
4/19/2023 12:30,D11,0.173669434
4/21/2023 9:30,D16,0.176808529
4/30/2023 18:00,D50,0.186668981
4/30/2023 23:00,D51,0.186683052
5/1/2023 14:00,D54,0.182571206
5/1/2023 20:00,D55,0.198135555
5/2/2023 3:00,D56,0.20219677
5/2/2023 10:00,D57,0.193238189
5/2/2023 17:00,D58,0.228024806
5/3/2023 20:00,D65,0.277136428
5/4/2023 2:00,D64,0.264571636
5/4/2023 23:00,D70,0.247974932
4/18/2023 16:30,UP7,0.184383366
4/18/2023 21:30,UP8,0.184827229
4/19/2023 2:30,UP9,0.176791779
4/19/2023 7:30,UP10,0.172781708
4/19/2023 22:30,UP13,0.194050935
4/20/2023 3:30,UP14,0.191598931
4/20/2023 23:30,UP17,0.181738892
4/21/2023 19:30,UP20,0.165210028
4/22/2023 5:30,UP22,0.16105877
4/22/2023 15:30,UP24,0.159387539
4/22/2023 20:30,UP25,0.16105877
4/24/2023 2:00,UP30,0.174331509
4/24/2023 17:00,UP33,0.189956714
4/24/2023 22:00,UP34,0.189956714
4/28/2023 16:00,UP48,0.153542325
4/30/2023 13:00,UP56,0.169350687
4/30/2023 18:00,UP57,0.186668981
5/1/2023 20:00,UP62,0.198135555
5/3/2023 14:00,UP68,0.214353076
5/3/2023 20:00,UP69,0.277136428
5/4/2023 20:00,UP77,0.251141915
5/4/2023 23:00,UP78,0.247974932
5/5/2023 11:00,UP82,0.216775432
4/13/2023 18:40,GS,0.1439
